CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 33093,RB 5112,"Moss Beach, south end of Fitzgerald Marine Reserve",San Mateo,Male,2003,236,284.2,119.13,158.21,151.16,205.26,67.81,0.33,0.42,0.56,0.53,1.2
MAM 34707,RB 5042,"Point Reyes National Seashore, Kehoe Beach",Marin,Male,2003,257,308,129.09,160.22,150.52,213.76,69.34,0.32,0.42,0.52,0.49,1.2
MAM 34759,RB 5844,Ano Nuevo Creek,San Mateo,Male,2007,259,304.8,130.66,168.91,152.24,210.67,70.52,0.33,0.43,0.55,0.5,1.18
MAM 34758,RB 5821,"Point Reyes National Seashore, Drakes Beach",Marin,Male,2007,236,303.67,130.53,170.9,156.16,214.4,74.6,0.35,0.43,0.56,0.51,1.29
MAM 34761,RB 5862,"Montara, Montara State Beach, south end",San Mateo,Male,2007,251.5,298.12,129.92,173.04,154.27,212.3,76.51,0.36,0.44,0.58,0.52,1.19
MAM 34760,RB 5861,"China Beach, San Francisco",San Francisco,Male,2007,210,287.58,126.12,160.52,138.11,200.83,67.35,0.34,0.44,0.56,0.48,1.37
MAM 34757,RB 5803,Pomponio State Beach,San Mateo,Male,2006,239,294.7,123.11,167.51,149.59,205.21,69.07,0.34,0.42,0.57,0.51,1.23
MAM 34753,RB 5779,"Cove Beach, Ano Nuevo State Beach",San Mateo,Male,2006,244,293.47,128.71,163.93,147.56,205.95,75.97,0.37,0.44,0.56,0.5,1.2
MAM 34756,RB 5791,"Richmond, Point Pinole Regional Shoreline, Point Pinole Pier",Contra Costa,Male,2006,235,289.16,128.05,159.97,144.18,204.37,67.68,0.33,0.44,0.55,0.5,1.23
MAM 34755,RB 5784,"Point Reyes National Seashore, South Beach",Marin,Male,2006,262,309,129.92,174.74,159.32,213.16,77.53,0.36,0.42,0.57,0.52,1.18
MAM 34754,RB 5781,"Richmond, Point Pinole Regional Shoreline, Point Pinole Pier",Contra Costa,Male,2006,246.5,295.8,123.6,168.34,147.99,206.34,70.57,0.34,0.42,0.57,0.5,1.2
MAM 25918,RB 5766,Ano Nuevo Point,San Mateo,Male,2006,229,284.73,128.39,167.34,154.56,201.83,69.92,0.35,0.45,0.59,0.54,1.24
MAM 34752,RB 5770,"Daly City, north end of Thornton Beach",San Mateo,Male,2006,238,299.76,127.37,162.86,148.6,213.26,77.46,0.36,0.42,0.54,0.5,1.26
MAM 34749,RB 5751,"Point Reyes National Seashore, North Beach",Marin,Male,2006,246.5,281.36,118.87,156.19,146.85,193.84,64.77,0.33,0.42,0.56,0.52,1.14
MAM 34745,RB 5737,Salmon Creek Beach,Sonoma,Male,2006,239,286.08,121.82,166.72,153.08,205.18,66.05,0.32,0.43,0.58,0.54,1.2
MAM 34750,RB 5752,"Point Reyes National Seashore, Abbot's Lagoon beach",Marin,Male,2006,244,287.54,123.63,167.54,159.44,203.05,71.78,0.35,0.43,0.58,0.55,1.18
MAM 34748,RB 5750,"Bodega Bay, south jetty",Sonoma,Male,2006,234,295.29,128.84,162.52,155.64,201.17,73.36,0.36,0.44,0.55,0.53,1.26
MAM 34747,RB 5749,Salmon Creek Beach,Sonoma,Male,2006,246.5,284.15,121.67,172.56,148.56,205.77,79.75,0.39,0.43,0.61,0.52,1.15
MAM 34751,RB 5756,Salmon Creek Beach,Sonoma,Male,2006,216,286.64,124.33,149.07,124.07,NA,67.35,NA,0.43,0.52,0.43,1.33
MAM 34746,RB 5746,San Gregorio State Beach,San Mateo,Male,2006,216,272.42,114.45,150.96,133.74,186.32,65.33,0.35,0.42,0.55,0.49,1.26
MAM 34740,RB 5723,Salmon Creek Beach,Sonoma,Male,2006,252,281.48,117.01,167.93,152.11,199.51,68.48,0.34,0.42,0.6,0.54,1.12
MAM 34742,RB 5730,Gazos Creek Beach,San Mateo,Male,2006,234,275.2,116.9,156.24,146.65,190.97,58.01,0.3,0.42,0.57,0.53,1.18
MAM 34737,RB 5713,"Crockett, Eckley Pier",Contra Costa,Male,2006,221,292.56,125.72,167.78,150.21,203.53,67.66,0.33,0.43,0.57,0.51,1.32
MAM 33103,RB 5722,"Princeton, Pillar Point",San Mateo,Male,2006,234,285.9,119.57,162.12,146.17,200.82,65.71,0.33,0.42,0.57,0.51,1.22
